Strike,Delta,Gamma,Theta,Vega,Bid,Ask,IV
100.0,0.52,0.0432,-0.1253,0.0856,2.45,2.55,35.6
105.0,0.44,0.0445,-0.1325,0.0923,1.95,2.05,36.2
110.0,0.35,0.0453,-0.1412,0.0967,1.55,1.65,36.8
115.0,0.28,0.0425,-0.1356,0.0945,1.15,1.25,37.2
120.0,0.21,0.0387,-0.1287,0.0902,0.85,0.95,37.5
125.0,0.15,0.0328,-0.1154,0.0832,0.55,0.65,37.9
130.0,0.10,0.0254,-0.0976,0.0743,0.35,0.45,38.3
135.0,0.06,0.0184,-0.0768,0.0628,0.20,0.30,38.6
140.0,0.03,0.0126,-0.0562,0.0502,0.10,0.20,38.8
95.0,0.61,0.0403,-0.1189,0.0782,3.15,3.25,35.1
90.0,0.69,0.0365,-0.1056,0.0705,3.85,3.95,34.6
85.0,0.76,0.0317,-0.0897,0.0621,4.55,4.65,34.2 
